Loading model: data/model/meta-llama/llama-3.1-8B-instruct
Using device: cuda
trainable params: 13,631,488 || all params: 8,043,892,736 || trainable%: 0.1695
Loading dataset from data/training_data.jsonl
Starting training...
{'loss': 1.1068, 'grad_norm': 1.379515290260315, 'learning_rate': 0.0001982857142857143, 'epoch': 1.0}
{'loss': 0.3152, 'grad_norm': 1.5521959066390991, 'learning_rate': 0.0001962857142857143, 'epoch': 2.0}
{'loss': 0.1832, 'grad_norm': 4.0533552169799805, 'learning_rate': 0.0001942857142857143, 'epoch': 3.0}
{'loss': 0.1348, 'grad_norm': 0.9911263585090637, 'learning_rate': 0.00019228571428571428, 'epoch': 4.0}
{'loss': 0.1221, 'grad_norm': 2.411362409591675, 'learning_rate': 0.0001902857142857143, 'epoch': 5.0}
{'loss': 0.0896, 'grad_norm': 0.33493414521217346, 'learning_rate': 0.0001882857142857143, 'epoch': 6.0}
{'loss': 0.0712, 'grad_norm': 1.0156567096710205, 'learning_rate': 0.0001862857142857143, 'epoch': 7.0}
{'loss': 0.0678, 'grad_norm': 0.5944699645042419, 'learning_rate': 0.00018428571428571428, 'epoch': 8.0}
{'loss': 0.0471, 'grad_norm': 0.23004047572612762, 'learning_rate': 0.0001822857142857143, 'epoch': 9.0}
{'loss': 0.0478, 'grad_norm': 0.48896169662475586, 'learning_rate': 0.00018028571428571432, 'epoch': 10.0}
{'loss': 0.0422, 'grad_norm': 0.4183715581893921, 'learning_rate': 0.0001782857142857143, 'epoch': 11.0}
{'loss': 0.0363, 'grad_norm': 0.2230198085308075, 'learning_rate': 0.0001762857142857143, 'epoch': 12.0}
{'loss': 0.033, 'grad_norm': 0.333734929561615, 'learning_rate': 0.0001742857142857143, 'epoch': 13.0}
{'loss': 0.0286, 'grad_norm': 0.11078990250825882, 'learning_rate': 0.00017228571428571428, 'epoch': 14.0}
{'loss': 0.0216, 'grad_norm': 2.0730888843536377, 'learning_rate': 0.0001702857142857143, 'epoch': 15.0}
{'loss': 0.0279, 'grad_norm': 1.5132173299789429, 'learning_rate': 0.0001682857142857143, 'epoch': 16.0}
{'loss': 0.0222, 'grad_norm': 0.20945534110069275, 'learning_rate': 0.0001662857142857143, 'epoch': 17.0}
{'loss': 0.0175, 'grad_norm': 0.07957017421722412, 'learning_rate': 0.00016428571428571428, 'epoch': 18.0}
{'loss': 0.0218, 'grad_norm': 0.09874866157770157, 'learning_rate': 0.00016228571428571428, 'epoch': 19.0}
{'loss': 0.0253, 'grad_norm': 1.846554160118103, 'learning_rate': 0.0001602857142857143, 'epoch': 20.0}
{'loss': 0.0171, 'grad_norm': 0.1296280026435852, 'learning_rate': 0.0001582857142857143, 'epoch': 21.0}
{'loss': 0.0209, 'grad_norm': 0.2877492308616638, 'learning_rate': 0.0001562857142857143, 'epoch': 22.0}
{'loss': 0.0209, 'grad_norm': 0.5995025038719177, 'learning_rate': 0.0001542857142857143, 'epoch': 23.0}
{'loss': 0.0283, 'grad_norm': 0.39387762546539307, 'learning_rate': 0.00015228571428571429, 'epoch': 24.0}
{'loss': 0.0231, 'grad_norm': 0.867347776889801, 'learning_rate': 0.0001502857142857143, 'epoch': 25.0}
{'loss': 0.0289, 'grad_norm': 0.32841408252716064, 'learning_rate': 0.0001482857142857143, 'epoch': 26.0}
{'loss': 0.0181, 'grad_norm': 0.39329639077186584, 'learning_rate': 0.0001462857142857143, 'epoch': 27.0}
{'loss': 0.0161, 'grad_norm': 0.08161689341068268, 'learning_rate': 0.00014428571428571428, 'epoch': 28.0}
{'loss': 0.0192, 'grad_norm': 1.5767725706100464, 'learning_rate': 0.00014228571428571429, 'epoch': 29.0}
{'loss': 0.0199, 'grad_norm': 1.5704313516616821, 'learning_rate': 0.0001402857142857143, 'epoch': 30.0}
{'loss': 0.0261, 'grad_norm': 0.1551823616027832, 'learning_rate': 0.0001382857142857143, 'epoch': 31.0}
{'loss': 0.0205, 'grad_norm': 0.9423628449440002, 'learning_rate': 0.00013628571428571428, 'epoch': 32.0}
{'loss': 0.019, 'grad_norm': 2.7239856719970703, 'learning_rate': 0.00013428571428571428, 'epoch': 33.0}
{'loss': 0.0183, 'grad_norm': 0.1058865487575531, 'learning_rate': 0.00013228571428571431, 'epoch': 34.0}
{'loss': 0.0188, 'grad_norm': 0.12880073487758636, 'learning_rate': 0.0001302857142857143, 'epoch': 35.0}
{'loss': 0.0168, 'grad_norm': 0.07677759230136871, 'learning_rate': 0.0001282857142857143, 'epoch': 36.0}
{'loss': 0.0162, 'grad_norm': 0.3673321306705475, 'learning_rate': 0.0001262857142857143, 'epoch': 37.0}
{'loss': 0.0165, 'grad_norm': 0.12281722575426102, 'learning_rate': 0.00012428571428571428, 'epoch': 38.0}
{'loss': 0.0158, 'grad_norm': 0.8712815642356873, 'learning_rate': 0.0001222857142857143, 'epoch': 39.0}
{'loss': 0.0152, 'grad_norm': 0.12971501052379608, 'learning_rate': 0.0001202857142857143, 'epoch': 40.0}
{'loss': 0.0146, 'grad_norm': 0.0797107070684433, 'learning_rate': 0.00011828571428571429, 'epoch': 41.0}
{'loss': 0.0138, 'grad_norm': 0.14062881469726562, 'learning_rate': 0.00011628571428571429, 'epoch': 42.0}
{'loss': 0.0136, 'grad_norm': 0.10157206654548645, 'learning_rate': 0.00011428571428571428, 'epoch': 43.0}
{'loss': 0.0134, 'grad_norm': 0.08423401415348053, 'learning_rate': 0.00011228571428571429, 'epoch': 44.0}
{'loss': 0.0132, 'grad_norm': 0.0664016604423523, 'learning_rate': 0.00011028571428571428, 'epoch': 45.0}
{'loss': 0.0132, 'grad_norm': 0.07331433892250061, 'learning_rate': 0.0001082857142857143, 'epoch': 46.0}
{'loss': 0.0133, 'grad_norm': 0.14228661358356476, 'learning_rate': 0.0001062857142857143, 'epoch': 47.0}
{'loss': 0.0133, 'grad_norm': 0.09811025112867355, 'learning_rate': 0.0001042857142857143, 'epoch': 48.0}
{'loss': 0.0133, 'grad_norm': 0.10017375648021698, 'learning_rate': 0.00010228571428571429, 'epoch': 49.0}
