Loading model: data/model/meta-llama/llama-3.1-8B-instruct
Using device: cuda
trainable params: 3,407,872 || all params: 8,033,669,120 || trainable%: 0.0424
Loading dataset from data/training_data.jsonl
Starting training...
{'loss': 2.0977, 'grad_norm': 6.755253314971924, 'learning_rate': 0.000199, 'epoch': 0.36}
{'loss': 1.8719, 'grad_norm': 2.779508352279663, 'learning_rate': 0.00019757142857142857, 'epoch': 0.71}
{'loss': 1.4218, 'grad_norm': 5.804455757141113, 'learning_rate': 0.00019614285714285716, 'epoch': 1.07}
{'loss': 1.2311, 'grad_norm': 3.187688112258911, 'learning_rate': 0.00019471428571428572, 'epoch': 1.43}
{'loss': 1.2774, 'grad_norm': nan, 'learning_rate': 0.00019328571428571428, 'epoch': 1.79}
{'loss': 1.1213, 'grad_norm': 3.256728410720825, 'learning_rate': 0.000192, 'epoch': 2.14}
{'loss': 0.9184, 'grad_norm': 6.86159086227417, 'learning_rate': 0.0001905714285714286, 'epoch': 2.5}
{'loss': 0.95, 'grad_norm': 5.26645040512085, 'learning_rate': 0.00018914285714285715, 'epoch': 2.86}
{'loss': 0.7839, 'grad_norm': 4.99605131149292, 'learning_rate': 0.00018771428571428574, 'epoch': 3.21}
{'loss': 0.6909, 'grad_norm': 19.62123680114746, 'learning_rate': 0.0001862857142857143, 'epoch': 3.57}
{'loss': 0.6409, 'grad_norm': 5.592828273773193, 'learning_rate': 0.00018485714285714286, 'epoch': 3.93}
{'loss': 0.411, 'grad_norm': 2.5226900577545166, 'learning_rate': 0.00018342857142857145, 'epoch': 4.29}
{'loss': 0.5258, 'grad_norm': 5.986091136932373, 'learning_rate': 0.000182, 'epoch': 4.64}
{'loss': 0.4467, 'grad_norm': 5.511806964874268, 'learning_rate': 0.00018057142857142857, 'epoch': 5.0}
{'loss': 0.2728, 'grad_norm': 12.28065013885498, 'learning_rate': 0.00017914285714285715, 'epoch': 5.36}
{'loss': 0.3461, 'grad_norm': 6.565855979919434, 'learning_rate': 0.0001777142857142857, 'epoch': 5.71}
{'loss': 0.249, 'grad_norm': 20.852001190185547, 'learning_rate': 0.0001762857142857143, 'epoch': 6.07}
{'loss': 0.2368, 'grad_norm': 15.909209251403809, 'learning_rate': 0.0001748571428571429, 'epoch': 6.43}
{'loss': 0.1653, 'grad_norm': 4.331399917602539, 'learning_rate': 0.00017342857142857142, 'epoch': 6.79}
{'loss': 0.2527, 'grad_norm': 6.1920952796936035, 'learning_rate': 0.000172, 'epoch': 7.14}
{'loss': 0.1628, 'grad_norm': 10.24538803100586, 'learning_rate': 0.0001705714285714286, 'epoch': 7.5}
{'loss': 0.1288, 'grad_norm': 7.85920524597168, 'learning_rate': 0.00016914285714285715, 'epoch': 7.86}
{'loss': 0.1496, 'grad_norm': 5.547978401184082, 'learning_rate': 0.0001677142857142857, 'epoch': 8.21}
{'loss': 0.1073, 'grad_norm': 4.8067474365234375, 'learning_rate': 0.0001662857142857143, 'epoch': 8.57}
{'loss': 0.1454, 'grad_norm': 5.844265460968018, 'learning_rate': 0.00016485714285714286, 'epoch': 8.93}
{'loss': 0.1382, 'grad_norm': 9.871935844421387, 'learning_rate': 0.00016342857142857145, 'epoch': 9.29}
{'loss': 0.1004, 'grad_norm': 2.4605541229248047, 'learning_rate': 0.000162, 'epoch': 9.64}
{'loss': 0.1064, 'grad_norm': 2.7900633811950684, 'learning_rate': 0.00016057142857142857, 'epoch': 10.0}
{'loss': 0.0878, 'grad_norm': 4.467132568359375, 'learning_rate': 0.00015914285714285715, 'epoch': 10.36}
{'loss': 0.0997, 'grad_norm': 0.9197660684585571, 'learning_rate': 0.00015771428571428571, 'epoch': 10.71}
{'loss': 0.0726, 'grad_norm': 2.0826635360717773, 'learning_rate': 0.0001562857142857143, 'epoch': 11.07}
{'loss': 0.051, 'grad_norm': 10.202874183654785, 'learning_rate': 0.00015485714285714286, 'epoch': 11.43}
{'loss': 0.0707, 'grad_norm': 8.824356079101562, 'learning_rate': 0.00015342857142857142, 'epoch': 11.79}
{'loss': 0.067, 'grad_norm': 1.2936381101608276, 'learning_rate': 0.000152, 'epoch': 12.14}
{'loss': 0.086, 'grad_norm': 4.145094871520996, 'learning_rate': 0.0001505714285714286, 'epoch': 12.5}
{'loss': 0.061, 'grad_norm': 7.015532970428467, 'learning_rate': 0.00014914285714285713, 'epoch': 12.86}
{'loss': 0.0714, 'grad_norm': 1.0233328342437744, 'learning_rate': 0.00014771428571428572, 'epoch': 13.21}
{'loss': 0.0673, 'grad_norm': 2.643676519393921, 'learning_rate': 0.0001462857142857143, 'epoch': 13.57}
{'loss': 0.0741, 'grad_norm': 4.907759666442871, 'learning_rate': 0.00014485714285714286, 'epoch': 13.93}
{'loss': 0.0596, 'grad_norm': 0.49479350447654724, 'learning_rate': 0.00014342857142857145, 'epoch': 14.29}
{'loss': 0.0598, 'grad_norm': 9.368854522705078, 'learning_rate': 0.000142, 'epoch': 14.64}
{'loss': 0.058, 'grad_norm': 3.640538454055786, 'learning_rate': 0.00014057142857142857, 'epoch': 15.0}
{'loss': 0.0501, 'grad_norm': 3.4319887161254883, 'learning_rate': 0.00013914285714285716, 'epoch': 15.36}
{'loss': 0.0573, 'grad_norm': 0.5016728639602661, 'learning_rate': 0.00013771428571428572, 'epoch': 15.71}
{'loss': 0.0525, 'grad_norm': 0.3378011882305145, 'learning_rate': 0.00013628571428571428, 'epoch': 16.07}
{'loss': 0.0469, 'grad_norm': 1.8568872213363647, 'learning_rate': 0.00013485714285714286, 'epoch': 16.43}
{'loss': 0.0568, 'grad_norm': 1.4596209526062012, 'learning_rate': 0.00013342857142857142, 'epoch': 16.79}
{'loss': 0.0498, 'grad_norm': 1.5749684572219849, 'learning_rate': 0.000132, 'epoch': 17.14}
{'loss': 0.0488, 'grad_norm': 0.6504979729652405, 'learning_rate': 0.00013057142857142857, 'epoch': 17.5}
{'loss': 0.0704, 'grad_norm': 0.5311704277992249, 'learning_rate': 0.00012914285714285713, 'epoch': 17.86}
{'loss': 0.0511, 'grad_norm': 0.4429681599140167, 'learning_rate': 0.00012771428571428572, 'epoch': 18.21}
{'loss': 0.0491, 'grad_norm': 2.438666582107544, 'learning_rate': 0.0001262857142857143, 'epoch': 18.57}
{'loss': 0.0515, 'grad_norm': 0.40782827138900757, 'learning_rate': 0.00012485714285714286, 'epoch': 18.93}
{'loss': 0.0399, 'grad_norm': 4.088993549346924, 'learning_rate': 0.00012342857142857142, 'epoch': 19.29}
{'loss': 0.0454, 'grad_norm': 3.5363731384277344, 'learning_rate': 0.000122, 'epoch': 19.64}
