epoch,loss
1.0,1.5294
2.0,0.5512
3.0,0.3634
4.0,0.2456
5.0,0.1545
6.0,0.1136
7.0,0.0952
8.0,0.0827
9.0,0.0692
10.0,0.0551
11.0,0.0766
12.0,0.0443
13.0,0.0455
14.0,0.0482
15.0,0.0581
16.0,0.045
17.0,0.0312
18.0,0.0261
19.0,0.0239
20.0,0.0224
21.0,0.0209
22.0,0.0219
23.0,0.0207
24.0,0.0216
25.0,0.0212
26.0,0.0251
27.0,0.0204
28.0,0.0255
29.0,0.0272
30.0,0.0231
31.0,0.0225
32.0,0.0223
33.0,0.0231
34.0,0.025
35.0,0.0377
36.0,0.0214
37.0,0.0211
38.0,0.0236
39.0,0.0187
40.0,0.0185
41.0,0.022
42.0,0.0219
43.0,0.0203
44.0,0.018
45.0,0.0182
46.0,0.018
47.0,0.0178
48.0,0.0178
49.0,0.0179
50.0,0.0178
51.0,0.0179
52.0,0.0176
53.0,0.0176
54.0,0.0175
55.0,0.0176
56.0,0.0175
57.0,0.0181
58.0,0.0175
59.0,0.0174
60.0,0.0174
61.0,0.0173
62.0,0.0177
63.0,0.0171
64.0,0.0179
65.0,0.0168
66.0,0.0174
67.0,0.0172
68.0,0.0172
69.0,0.0173
70.0,0.0168
71.0,0.0169
72.0,0.0172
73.0,0.0167
74.0,0.017
75.0,0.017
76.0,0.0169
77.0,0.0168
78.0,0.0173
79.0,0.0168
80.0,0.017
81.0,0.0173
82.0,0.0173
83.0,0.0171
84.0,0.0166
85.0,0.017
86.0,0.0168
87.0,0.0171
88.0,0.0167
89.0,0.0166
90.0,0.0169
91.0,0.0164
92.0,0.0167
93.0,0.0169
94.0,0.0159
95.0,0.0168
96.0,0.0162
97.0,0.0161
98.0,0.0166
99.0,0.0161
100.0,0.016
